unitid,year,fips,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,sex,yield
101143,2001,1,NA,NA,NA,NA,0,2,NA
101143,2001,1,NA,NA,0,0,0,99,NA
101161,2001,1,NA,NA,NA,NA,0,1,NA
101161,2001,1,NA,NA,NA,NA,0,2,NA
101161,2001,1,NA,NA,0,0,0,99,NA
101189,2001,1,250,183,102,0,102,1,0.732
101189,2001,1,354,245,209,5,214,2,0.692090395480226
101189,2001,1,604,428,311,5,316,99,0.708609271523179
101198,2001,1,NA,NA,NA,NA,0,1,NA
101198,2001,1,NA,NA,NA,NA,0,2,NA
101198,2001,1,NA,NA,0,0,0,99,NA
101213,2001,1,73,61,38,23,61,1,0.835616438356164
101213,2001,1,147,131,89,42,131,2,0.891156462585034
101213,2001,1,220,192,127,65,192,99,0.872727272727273
101231,2001,1,NA,NA,NA,NA,0,1,NA
101231,2001,1,NA,NA,NA,NA,0,2,NA
101231,2001,1,NA,NA,0,0,0,99,NA
101240,2001,1,NA,NA,NA,NA,0,1,NA
101240,2001,1,NA,NA,NA,NA,0,2,NA
101240,2001,1,NA,NA,0,0,0,99,NA
101268,2001,1,NA,NA,NA,NA,0,1,NA
101268,2001,1,NA,NA,NA,NA,0,2,NA
101268,2001,1,NA,NA,0,0,0,99,NA
101277,2001,1,NA,NA,NA,NA,0,1,NA
101277,2001,1,NA,NA,NA,NA,0,2,NA
101277,2001,1,NA,NA,0,0,0,99,NA
101286,2001,1,NA,NA,NA,NA,0,1,NA
101286,2001,1,NA,NA,NA,NA,0,2,NA
101286,2001,1,NA,NA,0,0,0,99,NA
101295,2001,1,NA,NA,NA,NA,0,1,NA
101295,2001,1,NA,NA,NA,NA,0,2,NA
101295,2001,1,NA,NA,0,0,0,99,NA
101301,2001,1,NA,NA,NA,NA,0,1,NA
101301,2001,1,NA,NA,NA,NA,0,2,NA
101301,2001,1,NA,NA,0,0,0,99,NA
